VideoName,VideoNumber,Plays,Tags,
Tram Amsterdam-Zandvoort opgeheven,45938,33,Amsterdam;Noord-Holland;Zandvoort,
Jonge dieren in onze dierentuinen: Artis,47634,28,Amsterdam,
Opening van het nieuwe Ajax-stadion,29759,25,Amsterdam;sport;Madurodam,
Nieuwe kroonlijst voor historisch herenhuis,79957,14,Amsterdam;Rijksmuseum,
25-jarig jubilieum van de vereniging 'Hendrick de Keyser',81852,18,Amsterdam;Typisch Nederlands,
Relletjes,15203,35,Amsterdam;arbeid,
Mijn Max,103254,9,Amsterdam;auteursrecht;multatuli;19e eeuw;rechtspraak;proces,
Nieuw laboratorium voor aardolieonderzoek,140270,10,Amsterdam;Wetenschap en onderzoek,
BZK-250912-3675,165709,8,Amsterdam;Rijksoverheid;Ministerie van Binnenlandse Zaken;ACTA;broedplaats;Liesbeth Spies;Ruben Verduin;Paulus de Wilt,
Hollandse molens draaien op Nationale Molendag,173432,10,Amsterdam;Typisch Nederlands,
Voorheen en thans,173456,10,Amsterdam,
Met Polygoon door... de grachten en langs de oude gevels van Amsterdam,173479,11,Amsterdam,
Uit de oude doos: gebouw Carré 60 jaar,173507,11,Amsterdam;podiumkunsten,
Protestmeeting IRH,173530,8,Amsterdam,
Aankomst Circus Henny,173555,9,Amsterdam;podiumkunsten,
Bokswedstrijd Willy Quentemeyer - Leon Fouguet,173585,7,Amsterdam;sport,
Beelden in Vondelpark,613521,7,Amsterdam;Vondelpark,
Verkeersregeling met een stopbord op de Weteringschans,647973,1,Amsterdam;verkeer,
Amsterdam heeft een tunnel,649148,1,Amsterdam;onderzoek,
Gemeentearchief in nieuwe behuizing,650029,1,Amsterdam;techniek en innovatie,
75-jarig bestaan van GVB,650055,1,Amsterdam;vervoer,
Ophalen en verbranden huisvuil,650105,1,Amsterdam;techniek en innovatie,
Herstel van gescheurde klokken,650471,1,Amsterdam;restauratie,
Houtdagen in Amsterdam,650382,1,Amsterdam;voorlichting,
Paleis voor Volksvlijt afgebrand,651418,1,Amsterdam;Paleis voor Volksvlijt,
Einde van een tijdperk,651483,1,Amsterdam;Paleis voor Volksvlijt,
Ophaalbrug bij de Overtoom,652322,1,Amsterdam;vervoer;Overtoom,
De wereld van de spuitbussen,652448,1,Amsterdam;techniek en innovatie;spuitbussen,
Ernstige ongeregeldheden bij ontruimingen in de Nieuwmarktbuurt,652502,0,Amsterdam;protest;Nieuwmarkt;rellen,
Zwemwedstrijden van het leven,654810,1,Amsterdam;zwemmen;Amstel,
Metro-NS-Station in Bijlmermeer officieel geopend en tunnelaanleg Nieuwmarktbuurt,656016,0,Amsterdam;openbaar vervoer,
Onthulling van Zadkine's monument,21325,33,Rotterdam;4 en 5 mei;oorlogsmonument,
Tentoonstelling van ontwerpen voor een nationaal koopvaardij monument,21675,13,Rotterdam;4 en 5 mei;oorlogsmonument,
Plechtige begrafenis van 14 ondergrondse strijders,24459,19,Rotterdam;4 en 5 mei,
De mariniers terug,25012,34,Rotterdam;4 en 5 mei,
Onthulling van het Zeeliedenmonument,25274,9,Rotterdam;4 en 5 mei;oorlogsmonument,
Verlenging MS Katendrecht,45631,20,Rotterdam;Madurodam,
Diergaarde Blijdorp gereed,45790,29,Rotterdam;Madurodam,
Jonge dieren in onze dierentuinen: Blijdorp,47662,25,Rotterdam;Madurodam,
Tewaterlating van twee schepen voor de Koninklijke Shell: de Miralda en de Elusa,97689,23,Rotterdam;scheepvaart;NDSM,
Molen op het Oostplein,108374,18,Rotterdam;Typisch Nederlands,
Medische faculteit,131452,14,Rotterdam;onderwijs;Gezondheid en zorg,
De fiets in al zijn vormen en in de kunst,8337,35,Rotterdam;Museum Boijmans Van Beuningen;verkeer;kunst,
Tentoonstelling 'Dier in de prentkunst',8312,20,Rotterdam;Museum Boijmans Van Beuningen;kunst,
Tentoonstelling Kees van Dongen,8213,29,Rotterdam;Museum Boijmans Van Beuningen;kunst,
Gastarbeiders leren Nederlands,8953,29,Rotterdam;culturele diversiteit;gastarbeiders,
Weefsels van Sumba,17616,19,Rotterdam;Indonesië;jaarthema 2010,
Tentoonstelling 'Engelse landschapsschilders',8114,28,Rotterdam;Museum Boijmans Van Beuningen;kunst,
Expositie 'Kunst der Maasvallei',8094,7,Rotterdam;Museum Boijmans Van Beuningen;kunst,
Vakantiebezigheden voor kinderen,2025,28,Rotterdam;zomer;jeugd;vakantie,
Aankomst van Ambonnezen in Nederland,16551,35,Rotterdam;Indonesië;jaarthema 2010,
Vetrek van de onderzeeboot "Tijgerhaai" met aan boord professor Vening Meinesz,139168,13,Rotterdam;scheepvaart;Wetenschap en onderzoek,
Rotterdam-Rijnpijpleiding gereed,31241,25,Rotterdam;Madurodam,
Halve finale Miss Bril,71978,25,Rotterdam;Mode en beauty,
'Sterk door Werk',15150,19,Rotterdam;arbeid,
SS Rotterdam voor sloop versleept,45698,33,Rotterdam;Madurodam,
Burgemeester mr. P. Droogleever Fortuyn over de Rotterdamse havens,29743,23,Rotterdam;Madurodam,
Kappers krullen te Rotterdam,72000,30,Rotterdam;Mode en beauty,
Groot verkeerscircuit,54113,33,Rotterdam;Verkeer en vervoer,
Binnenhavenbrug vergroot en gemoderniseerd,29993,18,Rotterdam;Madurodam,
Haven- en bouwstakingen duren voort; solidariteitsmars in Rotterdam,15645,17,Rotterdam;arbeid,
Mammoet booreiland te water,1605,17,Rotterdam;water,
De laatste reis van een oceaanstomer,111902,17,Rotterdam;scheepvaart,
Europoort,31752,25,Rotterdam;Madurodam,
Rotterdam krijgt metro,31338,25,Rotterdam;Madurodam,
De Euromast te Rotterdam bereikt hoogste punt,31107,20,Rotterdam;Madurodam,
De Rotterdam; het drijvende hotel,31099,24,Rotterdam;Madurodam,
Sea Bee: een nieuw scheepstype voor stukgoederenvervoer,32275,25,Rotterdam;Madurodam,
Opbouwdag 1963,31508,25,Rotterdam;Madurodam,
Burgemeester Oud laat zijn bloedgroep bepalen,123998,6,Rotterdam;Gezondheid en zorg,
Havendag,31668,37,Rotterdam;Madurodam,
Rotterdam bouwt aan zijn metro,31405,28,Rotterdam;Madurodam,
Unieke schilderijen expositie in Rotterdam,8139,13,Rotterdam;Museum Boijmans Van Beuningen,
Rotterdamse Diergaarde gaat verhuizen,30156,26,Rotterdam;Madurodam,
Gevederde pracht,95682,15,Rotterdam;huisdieren,
Touwtrekken om het kampioenschap van Nederland,57062,11,Rotterdam;sport,
Ajax voetbalkampioen van Nederland,56171,19,Rotterdam;sport,
Proefvaart "Zwarte Zee",45842,32,Rotterdam;Madurodam,
Euromast wordt 78m hoger,31918,29,Rotterdam;Madurodam,
Uitbreiding haven,31882,29,Rotterdam;Madurodam,
Bouw van de Brienenoordbrug,31651,30,Rotterdam;Madurodam,
Bouw metro vordert,31581,26,Rotterdam;Madurodam,
Bouw van nieuwe oeververbinding,31480,25,Rotterdam;Madurodam,
Europoort met Nieuwe Waterweg verbonden,31260,29,Rotterdam;Madurodam,
De "Cadilla" wordt weer tankschip,30341,10,Rotterdam;Madurodam,
Achter de schermen van de 'warme' en 'koude' bakker,15448,10,Rotterdam;voeding,
Havenvakschool,12134,29,Rotterdam;onderwijs,
De schilder Paul Delvaux,8288,21,Rotterdam;Museum Boijmans Van Beuningen,
Kant-tentoonstelling in Rotterdam,8161,13,Rotterdam;Museum Boijmans Van Beuningen,
Billy Graham; massale evangelisatieavond in het Feyenoord stadion,3238,33,Rotterdam;religie,
Lord Beveridge promoveert te Rotterdam tot doctor honoris causa in de economische wetenschappen,141236,5,Rotterdam;Wetenschap en onderzoek,
Voetbalwedstrijd Nederland - België,79601,24,Rotterdam;sport,
Eindhovenaar Moons; kampioen marathonloop 1950,55928,21,Rotterdam;Eindhoven;sport,
Officiële overdracht van de "Nieuw Amsterdam",30076,27,Rotterdam;Madurodam,
Nieuwe Waterweg breekt 29 jaar oud record,112924,16,Rotterdam;scheepvaart,
Persexcursie naar de delfstofgebieden: zoutwinning in Boekelo; olieboringen bij Coevorden; raffinaderijen in Pernis,77623,23,Rotterdam;industrie en productie,
Weg met de droogkap,72076,30,Rotterdam;Mode en beauty,
