Tag,VideoName,VideoNumber,Plays,Total Videos,
Amsterdam,Nationaal monument nadert zijn voltooiing,21701,17,83,
Amsterdam,Herdenking Februaristaking,21756,16,83,
Amsterdam,Plechtige begrafenis van 17 illegale strijders,24507,31,83,
Amsterdam,De verzetstentoonstelling 'Weerbare democratie',24651,27,83,
Amsterdam,Dag van het oorlogsgraf: herdenking in Amsterdam en Mierlo,24960,21,83,
Amsterdam,As van in Japan gestorven krijgsgevangenen met militaire eer bijgezet,25299,10,83,
Amsterdam,Onthulling Joods Dankbaarheidsmonument,25446,31,83,
Amsterdam,Invasieherdenking in Amsterdam,25745,17,83,
Amsterdam,President Ben Zwi van Israël in ons land,25770,15,83,
Amsterdam,Nederland eert de doden van de Tweede Wereldoorlog,26711,9,83,
Amsterdam,Dodenherdenkingsdag in Amsterdam,26917,30,83,
Amsterdam,Met vuurwerk over de drempel,27273,30,83,
Amsterdam,Oranje feestvreugde,27524,31,83,
Amsterdam,Bloemencorso georganiseerd door de Aalsmeerse kwekers,27661,14,83,
Amsterdam,Hij is er,28042,25,83,
Amsterdam,Rembrandt tentoonstelling verlengd,28162,22,83,
Amsterdam,Irenebrigade op de Dam (1945),32822,32,83,
Amsterdam,Dodenherdenking op de Dam (1958),32398,23,83,
Amsterdam,Wijken van Neerlands hoofdstad in de stijl van de Amsterdamse School,32317,31,83,
Amsterdam,Schietpartij op de Dam (1945),39746,37,83,
Amsterdam,Modieuze regenkleding voor het komend seizoen,493,36,83,
Amsterdam,Diamanttentoonstelling in Amsterdam,44046,16,83,
Amsterdam,"Amsterdam Diamanstad",44071,18,83,
Amsterdam,Amsterdam diamantstad,44130,25,83,
Amsterdam,Tram Amsterdam-Zandvoort opgeheven,45938,33,83,
Amsterdam,Jonge dieren in onze dierentuinen: Artis,47634,28,83,
Amsterdam,Opening van het nieuwe Ajax-stadion,29759,25,83,
Amsterdam,Nieuwe kroonlijst voor historisch herenhuis,79957,14,83,
Amsterdam,25-jarig jubilieum van de vereniging 'Hendrick de Keyser',81852,18,83,
Amsterdam,Relletjes,15203,35,83,
Amsterdam,Mijn Max,103254,9,83,
Amsterdam,Nieuw laboratorium voor aardolieonderzoek,140270,10,83,
Amsterdam,BZK-250912-3675,165709,8,83,
Amsterdam,Hollandse molens draaien op Nationale Molendag,173432,10,83,
Amsterdam,Voorheen en thans,173456,10,83,
Amsterdam,Met Polygoon door... de grachten en langs de oude gevels van Amsterdam,173479,11,83,
Amsterdam,Uit de oude doos: gebouw Carré 60 jaar,173507,11,83,
Amsterdam,Protestmeeting IRH,173530,8,83,
Amsterdam,Aankomst Circus Henny,173555,9,83,
Amsterdam,Bokswedstrijd Willy Quentemeyer - Leon Fouguet,173585,7,83,
Amsterdam,Beelden in Vondelpark,613521,7,83,
Amsterdam,Verkeersregeling met een stopbord op de Weteringschans,647973,1,83,
Amsterdam,Amsterdam heeft een tunnel,649148,1,83,
Amsterdam,Gemeentearchief in nieuwe behuizing,650029,1,83,
Amsterdam,75-jarig bestaan van GVB,650055,1,83,
Amsterdam,Ophalen en verbranden huisvuil,650105,1,83,
Amsterdam,Herstel van gescheurde klokken,650471,1,83,
Amsterdam,Houtdagen in Amsterdam,650382,1,83,
Amsterdam,Paleis voor Volksvlijt afgebrand,651418,1,83,
Amsterdam,Einde van een tijdperk,651483,1,83,
Amsterdam,Ophaalbrug bij de Overtoom,652322,1,83,
Amsterdam,De wereld van de spuitbussen,652448,1,83,
Amsterdam,Ernstige ongeregeldheden bij ontruimingen in de Nieuwmarktbuurt,652502,0,83,
Amsterdam,Zwemwedstrijden van het leven,654810,1,83,
Amsterdam,Metro-NS-Station in Bijlmermeer officieel geopend en tunnelaanleg Nieuwmarktbuurt,656016,0,83,
Rotterdam,'Ontdekt uw stad' tentoonstelling,1521,20,105,
Rotterdam,Het bouwcentrum,577,29,105,
Rotterdam,Tentoonstelling van de maquette 'Nieuw Rotterdam',521,27,105,
Rotterdam,Rotterdams centrum nadert voltooiing,3174,29,105,
Rotterdam,Rotterdamse haven geheel hersteld,3089,37,105,
Rotterdam,Oefeningen van de Rotterdamse motorpolitie,2417,37,105,
Rotterdam,Nieuw hart voor zuidelijk stadsdeel,1913,33,105,
Rotterdam,Nieuwe vervoermiddelen in Amsterdam en Rotterdam,1647,33,105,
Rotterdam,Verkeerschaos in Rotterdam ten einde officiële heropening Coolsingel,1153,35,105,
Rotterdam,Houen zo!,3842,35,105,
Rotterdam,Houen zo!,3860,37,105,
Rotterdam,Onthulling van Zadkine's monument,21325,33,105,
Rotterdam,Tentoonstelling van ontwerpen voor een nationaal koopvaardij monument,21675,13,105,
Rotterdam,Plechtige begrafenis van 14 ondergrondse strijders,24459,19,105,
Rotterdam,De mariniers terug,25012,34,105,
Rotterdam,Onthulling van het Zeeliedenmonument,25274,9,105,
Rotterdam,Verlenging MS Katendrecht,45631,20,105,
Rotterdam,Diergaarde Blijdorp gereed,45790,29,105,
Rotterdam,Jonge dieren in onze dierentuinen: Blijdorp,47662,25,105,
Rotterdam,Tewaterlating van twee schepen voor de Koninklijke Shell: de Miralda en de Elusa,97689,23,105,
Rotterdam,Molen op het Oostplein,108374,18,105,
Rotterdam,Medische faculteit,131452,14,105,
Rotterdam,De fiets in al zijn vormen en in de kunst,8337,35,105,
Rotterdam,Tentoonstelling 'Dier in de prentkunst',8312,20,105,
Rotterdam,Tentoonstelling Kees van Dongen,8213,29,105,
Rotterdam,Gastarbeiders leren Nederlands,8953,29,105,
Rotterdam,Weefsels van Sumba,17616,19,105,
Rotterdam,Tentoonstelling 'Engelse landschapsschilders',8114,28,105,
Rotterdam,Expositie 'Kunst der Maasvallei',8094,7,105,
Rotterdam,Vakantiebezigheden voor kinderen,2025,28,105,
Rotterdam,Aankomst van Ambonnezen in Nederland,16551,35,105,
Rotterdam,Vetrek van de onderzeeboot "Tijgerhaai" met aan boord professor Vening Meinesz,139168,13,105,
Rotterdam,Rotterdam-Rijnpijpleiding gereed,31241,25,105,
Rotterdam,Halve finale Miss Bril,71978,25,105,
Rotterdam,'Sterk door Werk',15150,19,105,
Rotterdam,SS Rotterdam voor sloop versleept,45698,33,105,
Rotterdam,Burgemeester mr. P. Droogleever Fortuyn over de Rotterdamse havens,29743,23,105,
Rotterdam,Kappers krullen te Rotterdam,72000,30,105,
Rotterdam,Groot verkeerscircuit,54113,33,105,
Rotterdam,Binnenhavenbrug vergroot en gemoderniseerd,29993,18,105,
Rotterdam,Haven- en bouwstakingen duren voort; solidariteitsmars in Rotterdam,15645,17,105,
Rotterdam,Mammoet booreiland te water,1605,17,105,
Rotterdam,De laatste reis van een oceaanstomer,111902,17,105,
Rotterdam,Europoort,31752,25,105,
Rotterdam,Rotterdam krijgt metro,31338,25,105,
Rotterdam,De Euromast te Rotterdam bereikt hoogste punt,31107,20,105,
Rotterdam,De Rotterdam; het drijvende hotel,31099,24,105,
Rotterdam,Sea Bee: een nieuw scheepstype voor stukgoederenvervoer,32275,25,105,
